nodeId;realId;label;embedding
11762;1;0;[0.6404173374176025,-1.097991943359375,-0.22982288897037506,-0.6707721948623657,1.0364900827407837,-0.36017441749572754,0.09399966895580292,0.26495325565338135,-0.33795130252838135,-0.6607149243354797]
11763;2;0;[0.6883147954940796,-0.8189247250556946,-0.6690084934234619,-0.6697536110877991,1.305292010307312,-0.8839682936668396,0.5284948945045471,0.2776274085044861,-0.8959789276123047,-0.4145498275756836]
11764;3;0;[0.4976617395877838,-0.943882167339325,0.4812782108783722,-0.635016918182373,-0.26583415269851685,-0.16488468647003174,0.7751055955886841,0.20255349576473236,0.02607337012887001,-0.7666281461715698]
11765;4;0;[0.3867989480495453,-0.7471362948417664,-0.38642868399620056,-0.9454329013824463,1.2864291667938232,-0.7906636595726013,0.4037226736545563,0.2754043936729431,-0.42338719964027405,-0.1698201447725296]
11766;5;0;[0.7012119293212891,-0.7749857902526855,-0.4176933467388153,-1.0152080059051514,0.9555979371070862,-0.5397810935974121,0.5594324469566345,0.16840270161628723,-0.6374381184577942,-0.22477395832538605]
11767;6;0;[0.8502380847930908,-1.118455171585083,0.08915112912654877,-0.398959755897522,0.9378545880317688,-0.1001415029168129,0.24960657954216003,-0.05324162170290947,-0.35779309272766113,-0.1869928240776062]
11768;7;0;[0.48911052942276,-0.6652351021766663,-0.5011907815933228,-1.071474552154541,1.009514570236206,-0.812584400177002,0.23059436678886414,0.7395141124725342,-0.3630847632884979,-0.21379350125789642]
11769;8;0;[0.6659960150718689,-0.7095369100570679,-0.3947538435459137,-1.1171787977218628,1.2228714227676392,-0.7125235795974731,0.7123857140541077,0.25563135743141174,-0.19989964365959167,0.007084496319293976]
11770;9;0;[0.5152273774147034,-0.7636924386024475,0.24056419730186462,-0.6169729828834534,1.1437937021255493,-0.5676229000091553,0.28907015919685364,0.40258732438087463,-0.18648627400398254,-0.695103108882904]
11771;10;0;[0.36644402146339417,-0.530038595199585,0.09243657439947128,-0.9999100565910339,1.2750998735427856,-0.9584811329841614,0.6419336795806885,-0.1414671242237091,-0.2081259936094284,0.008542177267372608]
11772;13;0;[0.7422381043434143,-0.4242408573627472,0.11385923624038696,-0.30365118384361267,1.2023849487304688,-0.20379208028316498,0.173269122838974,0.6223005056381226,-0.4426581561565399,0.2920363247394562]
11773;15;0;[0.066196009516716,-1.015345811843872,-0.2478524148464203,-1.0331971645355225,1.1109133958816528,-0.7866719365119934,0.385204017162323,0.8798590302467346,-0.26253002882003784,0.5262872576713562]
11774;16;0;[-0.8885319232940674,-0.5447155237197876,0.6932832598686218,0.2672121822834015,0.22448717057704926,0.6457992792129517,0.5224194526672363,0.04386600852012634,-0.7939265370368958,-0.806760847568512]
11775;17;0;[0.5707308053970337,-1.217054843902588,-0.010882647708058357,-0.7552272081375122,0.7579337358474731,-0.5906551480293274,0.7902159690856934,-0.1249949038028717,-0.2326478213071823,0.10905265808105469]
11776;19;0;[0.8639860153198242,-0.15556177496910095,-0.18967700004577637,-0.8674424886703491,1.1454023122787476,-0.8718054294586182,0.6987649202346802,0.20764639973640442,-1.0160696506500244,0.20976276695728302]
11777;20;0;[0.517970085144043,-0.21269690990447998,0.014401117339730263,-0.44180503487586975,0.3679288923740387,0.6608445048332214,0.6066064238548279,0.3044137954711914,0.3810148239135742,0.69105064868927]
11778;21;0;[0.28761905431747437,-0.8076179623603821,-0.06745263189077377,-0.9548366665840149,0.9335782527923584,-1.4709559679031372,0.6035486459732056,-0.15867063403129578,-0.28122296929359436,-0.23946990072727203]
11779;23;0;[1.2411655187606812,-0.8002853393554688,-0.2298266440629959,-1.1788684129714966,0.4283922612667084,-1.527280569076538,1.3672131299972534,0.19666266441345215,-0.4972836673259735,-0.4868831932544708]
11780;25;0;[0.09274613857269287,-0.730812132358551,0.5055007338523865,-0.6789693236351013,0.3998481035232544,0.4893682599067688,-0.2430456578731537,-0.14240916073322296,-0.2382429540157318,0.16381746530532837]
11781;26;0;[0.8209748268127441,0.78386390209198,1.303912878036499,-1.1462903022766113,1.5587867498397827,-0.6593399047851562,0.4672074615955353,0.32756391167640686,-1.066225290298462,-0.16707748174667358]
11782;28;0;[0.5599687099456787,-0.8253873586654663,-0.059860959649086,-0.9088895916938782,0.8245120048522949,-1.6290817260742188,1.4281069040298462,0.6334063410758972,-0.49767428636550903,0.5267319679260254]
11783;29;0;[0.44911420345306396,-1.0401997566223145,-0.7131175994873047,-0.6895339488983154,0.42194509506225586,-1.1354281902313232,0.20021779835224152,0.5337569117546082,-0.6045086979866028,0.06417038291692734]
11784;31;0;[0.6115509271621704,-0.6354707479476929,-0.19840194284915924,-1.113281488418579,0.9955014586448669,-0.695014476776123,0.23837333917617798,0.09855592250823975,-0.4421316981315613,-0.40902116894721985]
11785;32;0;[0.93211430311203,-0.8566256761550903,0.00200100801885128,-0.7978201508522034,0.6079037189483643,-0.7017564177513123,0.8800657391548157,0.18239617347717285,0.11253773421049118,-0.41112032532691956]
11786;33;0;[1.0683950185775757,-1.131835699081421,-0.2384219467639923,-0.5069578886032104,0.6733534932136536,-0.4226166605949402,-0.47462835907936096,-0.09334376454353333,0.21737053990364075,-0.3088318109512329]
11787;34;0;[0.790905237197876,-0.4104996919631958,-0.1697506457567215,-0.957552969455719,1.214917540550232,-0.5351715087890625,0.33839690685272217,0.21883176267147064,-0.2095365822315216,0.17039868235588074]
11788;35;0;[0.8772285580635071,-0.2355937361717224,0.5860891342163086,-0.3516349494457245,0.2264864146709442,-0.5311261415481567,0.012444895692169666,0.8508154153823853,-0.09681679308414459,-0.22179432213306427]
11789;36;0;[0.18295131623744965,-0.8424227237701416,0.007070637308061123,-1.618881344795227,0.7943776845932007,-0.9043741822242737,0.9991985559463501,1.0572787523269653,-0.7743350267410278,0.07148915529251099]
11790;37;0;[0.01793857477605343,-1.0253480672836304,0.4720028042793274,-0.7238929867744446,0.8715088963508606,-0.9486268758773804,0.5381854176521301,-0.3728816509246826,-1.1265099048614502,-0.14031779766082764]
11791;39;0;[0.07549063861370087,-0.7353555560112,-0.1300039142370224,-0.7804113030433655,1.2889584302902222,-1.4218449592590332,1.1140096187591553,0.7625007033348083,-0.9926680326461792,-0.28009265661239624]
11792;41;0;[0.9001368880271912,-0.4399838149547577,-0.18739880621433258,-1.0937339067459106,1.4353092908859253,-0.582915186882019,0.254729300737381,0.6591520309448242,0.40057241916656494,-0.042094070464372635]
11793;44;0;[0.017636055126786232,-1.2305220365524292,0.3522798418998718,-0.9711996912956238,1.1304773092269897,-1.144973874092102,1.0491057634353638,0.0657498836517334,-1.2581065893173218,-0.0882692039012909]
11794;45;0;[0.6445525288581848,-1.0738554000854492,-0.8127432465553284,-0.3104017376899719,2.053494691848755,-0.9912769198417664,0.6955695152282715,0.2785710096359253,-0.8399460315704346,0.2867285907268524]
11795;46;0;[0.16653774678707123,-1.0324324369430542,0.20428401231765747,-1.9194127321243286,0.7564294934272766,-0.6039893627166748,0.5747179388999939,0.9852252006530762,-0.5445284843444824,-0.007989355362951756]
