Column1;Column2;Column3;Column4;;Nodes
6;2;4;1,29E+14;;1
6;5;2;1,29E+14;;2
1;15;1;1,29E+14;;3
4;3;7;1,29E+14;;4
13;16;8;1,29E+14;;5
13;10;8;1,29E+14;;6
7;5;1;1,29E+14;;7
2;21;5;1,29E+14;;8
2;20;5;1,29E+14;;9
21;2;5;1,29E+14;;10
21;1;8;1,29E+14;;13
21;10;8;1,29E+13;;15
21;8;9;1,29E+14;;16
21;3;7;1,29E+14;;17
17;3;5;1,29E+14;;19
17;23;1;1,29E+14;;20
10;1;8;1,29E+14;;21
10;6;7;1,29E+14;;23
10;21;8;1,29E+14;;25
10;8;1;1,29E+13;;26
10;25;10;1,29E+14;;28
10;2;7;1,29E+14;;29
10;3;7;1,29E+14;;31
4;26;1;1,29E+14;;32
26;4;1;1,29E+14;;33
5;1;3;1,29E+14;;34
5;6;3;1,29E+14;;35
5;7;1;1,29E+14;;36
1;5;4;1,29E+14;;37
6;4;2;1,29E+13;;39
4;6;5;1,29E+14;;41
2;4;5;1,29E+14;;44
17;28;1;1,29E+14;;45
17;13;2;1,29E+14;;46
13;17;2;1,29E+14;;47
13;29;2;1,29E+14;;51
29;13;2;1,29E+14;;52
17;20;2;1,29E+14;;53
4;31;1;1,29E+14;;54
31;4;2;1,29E+14;;55
32;6;1;1,29E+14;;56
13;1;8;1,29E+14;;57
7;34;1;1,29E+14;;60
34;7;1;1,29E+14;;61
32;1;1;1,29E+14;;62
1;32;1;1,29E+14;;64
1;34;1;1,29E+14;;65
34;1;1;1,29E+14;;66
34;13;1;1,29E+14;;68
13;34;1;1,29E+13;;69
6;7;5;1,29E+14;;70
7;6;3;1,29E+14;;71
1;17;9;1,29E+14;;72
1;31;2;1,29E+14;;74
31;1;3;1,29E+14;;75
35;6;2;1,29E+14;;76
1;13;3;1,29E+14;;77
36;37;1;1,29E+14;;78
37;36;1;1,29E+14;;79
35;1;1;1,29E+14;;80
17;1;9;1,29E+14;;81
8;1;3;1,29E+14;;83
7;29;2;1,29E+14;;86
1;20;2;1,29E+14;;87
37;44;1;1,29E+14;;88
44;37;1;1,29E+14;;89
39;45;1;1,29E+14;;93
39;7;3;1,29E+14;;94
39;44;1;1,29E+14;;95
44;39;1;1,29E+14;;96
23;17;1;1,29E+14;;97
23;19;1;1,29E+14;;99
36;46;1;1,29E+14;;100
46;36;1;1,29E+14;;101
47;1;2;1,29E+14;;103
13;7;1;1,29E+14;;104
7;13;1;1,29E+14;;105
29;51;1;1,29E+14;;106
51;29;1;1,29E+14;;107
29;52;1;1,29E+14;;108
52;29;1;1,29E+13;;109
45;39;2;1,29E+13;;110
45;53;2;1,29E+14;;111
53;45;2;1,29E+13;;112
45;54;2;1,29E+14;;113
54;45;2;1,29E+14;;114
1;54;1;1,29E+14;;115
54;1;1;1,29E+14;;116
7;3;6;1,29E+13;;119
36;41;2;1,29E+14;;120
41;36;2;1,29E+14;;122
36;21;2;1,29E+14;;125
21;36;2;1,29E+14;;127
7;36;3;1,29E+14;;129
36;7;4;1,29E+14;;131
7;53;4;1,29E+14;;132
53;7;4;1,29E+14;;133
7;55;1;1,29E+14;;134
55;7;1;1,29E+14;;135
29;7;2;1,29E+14;;137
4;57;5;1,29E+14;;138
39;21;2;1,29E+14;;139
21;39;2;1,29E+14;;140
